,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,BIA,WHOLE LOTTA MONEY (feat. Nicki Minaj) [Remix],WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix,67G6iaOw8DZqp1z8STR89R,0.893,0.463,1,-5.301,1,0.36,0,0.318,0.591,81.026,229601,4
1,City Girls,Twerkulator,Twerkulator,2Ty7EDf9XLYzEUqEIwJfDC,0.895,0.469,1,-5.882,1,0.0661,4.56e-05,0.192,0.076,126.917,138542,4
2,Megan Thee Stallion,Something for Thee Hotties,Thot Shit,7FdmHr87G79PDRGy9SPBkZ,0.949,0.683,9,-4.242,1,0.0946,0,0.171,0.887,130.012,184635,4
3,Cardi B,Up (Instrumental),Up,1M4OcYkxAtu3ErzSgDEfoi,0.868,0.795,11,-6.044,1,0.269,0.0193,0.0461,0.819,166.0,156945,4
4,Megan Thee Stallion,Good News,Body,0A1hoCfMLkiAgvhWkkucJa,0.914,0.732,8,-6.1,0,0.241,0,0.107,0.469,94.066,171067,4
5,Erica Banks,Erica Banks,Buss It,25j0Sape7qZbq6ZPLFefTT,0.956,0.502,9,-5.995,1,0.213,0,0.238,0.795,110.003,187000,4
6,Megan Thee Stallion,Good News,Girls in the Hood,7yiSvALPjMrBLDDrbcDRNy,0.821,0.816,6,-3.835,1,0.352,0,0.0645,0.797,179.974,154389,4
7,City Girls,City On Lock,Pussy Talk,5EzL7hGT9g2Tvqsy158Lu9,0.943,0.641,1,-5.598,1,0.191,0,0.211,0.242,99.099,218333,4
8,Saweetie,Tap In,Tap In,4Hpib09wXgD84w4uwTPnYD,0.954,0.696,10,-7.117,0,0.204,0.000498,0.0754,0.432,100.036,139413,4
9,City Girls,Girl Code,What We Doin',11TOnapSFVWBUSByMzf1u1,0.952,0.606,10,-5.032,1,0.0814,1.31e-06,0.327,0.305,100.434,143426,4
10,Megan Thee Stallion,Good News,Savage Remix (feat. Beyoncé),2Z71PZlOeF9YVze4hy1A1a,0.753,0.745,10,-4.776,0,0.334,0,0.127,0.635,169.02,242001,4
11,Megan Thee Stallion,Good News,Do It On The Tip (feat. City Girls & Hot Girl Meg),2993VQSr7a2Dj5hI5xcWG0,0.943,0.528,0,-8.631,1,0.299,0,0.0858,0.608,97.542,167370,4
12,Doja Cat,Say So (feat. Nicki Minaj),Say So (feat. Nicki Minaj),11VApNQCWLJdzxWrlmwzUa,0.856,0.641,11,-4.64,0,0.204,4.97e-06,0.427,0.745,111.004,206221,4
